(find c/textseg_sizes | xargs cat),   (find c/instruction_counts | xargs cat)
file16876,2548
file17179,6137
file16836,45559
file16872,126605
file17167,455
file17170,1134
file17171,1108
file17184,517
file17172,2409
file17182,6081
file17168,5407
file17188,2289
file17189,1390
file17191,494
file17180,37564
file17193,209
file17183,689
file17187,23437
file17190,6907
file17174,10855
file15061,298522
file17200,9135
file17177,11951
file17198,267
file17186,3126
file17192,2773
file17185,11547
file17196,3624
file17199,35785
file17197,12684
file18648,1670
file18641,3318
file18646,89
file18652,757
file18649,1086
file18672,4219
file18644,556
file15492,374226
file18673,2349
file18645,596
file18659,2649
file18656,6972
file18890,311
file18650,1309
file18891,1262
file18663,1475
file18666,979
file18896,1456
file18653,1167
file18665,2337
file18661,2029
file18675,269
file18886,688
file18674,1495
file18897,440
file18668,98
file18651,3851
file18684,504
file18671,4880
file18662,1665
file18679,888
file18882,287
file18657,2925
file18680,2775
file18676,652
file18899,295
file18903,3847
file18692,5491
file18889,1931
file18686,548
file18888,849
file18658,727
file18904,462
file18902,5175
file18906,1303
file18695,917
file18907,775
file18677,13097
file18693,1543
file18901,2720
file18690,560
file18697,733
file18654,15113
file18881,12293
file18700,1650
file18702,892
file18699,2097
file18910,467
file18883,7572
file18892,17504
file18696,1324
file18895,9511
file18912,336
file18885,2810
file18698,846
file18915,607
file18884,12015
file18898,804
file18911,698
file18647,7910
file12302,981068
file18908,11064
file18887,27895
file18913,260
file18718,196
file18660,1862
file18909,442
file18642,9443
file18900,4634
file18914,2059
file18713,1222
file18920,451
file18905,2745
file18712,8721
file18667,1455
file18919,221
file18709,982
file18682,10461
file18705,648
file18715,939
file18683,7889
file18703,2747
file18670,1662
file18714,2873
file18918,510
file18916,2331
file18925,206
file18921,3386
file18643,41468
file18701,1879
file18691,24683
file18928,94
file18917,4781
file18664,2761
file18716,9614
file19765,5118
file18687,2007
file19769,3291
file18926,117
file19774,1609
file18711,775
file18694,53755
file18681,7941
file18922,521
file19775,9244
file18924,12857
file18931,71
file19761,7096
file19763,8160
file18929,1002
file18707,997
file18710,1210
file18893,41065
file18717,1447
file19773,2342
file18720,6432
file18704,20748
file19780,905
file18940,603
file18923,699
file19784,1051
file18685,10169
file19786,1357
file18933,1631
file18927,8661
file19787,2310
file18930,12306
file18939,3032
file18934,10728
file18937,8440
file19791,198
file18678,29794
file19792,1515
file18932,97
file19795,462
file18938,411
file19790,33924
file18688,30823
file19789,4348
file18935,1547
file19794,6077
file18943,1839
file19793,6069
file18944,2283
file18950,806
file19802,672
file18949,3257
file18936,5910
file18719,40061
file18941,2011
file19801,221
file19777,2777
file19771,778
file19766,1612
file18946,1953
file19803,5434
file19767,11393
file19776,1299
file18956,1332
file19805,1562
file19798,1081
file19770,2971
file18947,3275
file18951,1242
file19785,629
file18958,363
file18945,5573
file18959,61
file18957,1273
file19781,1591
file19779,608
file19783,2154
file18952,9738
file18954,1369
file18948,5506
file18960,4444
file18953,779
file19772,1224
file19810,6213
file19804,5426
file19782,873
file18955,6463
file19806,1770
file19811,820
file19764,24456
file19797,4922
file19800,4342
file20730,10643
file19796,863
file18708,161889
file20728,151
file19809,28557
file19813,314
file19824,20422
file19817,7042
file18942,40087
file20726,808
file20723,2887
file20738,1801
file20740,3463
file20750,125
file19807,1148
file19815,743
file20736,796
file20753,765
file20754,410
file20733,863
file19808,3267
file20725,1568
file20729,5302
file20744,1042
file19821,4255
file19816,1528
file20751,850
file19828,354
file20737,370
file19822,1135
file19840,336
file20731,1023
file19799,6117
file19812,5483
file20742,2331
file20734,2893
file19814,7944
file19827,13150
file19825,2028
file19778,20589
file19831,296
file20727,3565
file20758,2242
file20735,2345
file20762,1180
file20749,2340
file19830,1605
file20759,712
file19829,3301
file20760,970
file20739,13933
file20756,4794
file20757,1913
file19788,17899
file19823,1362
file19832,1857
file20721,508
file19836,2285
file20722,5848
file18706,84710
file19826,4300
file20765,1304
file20772,504
file20764,158
file20767,806
file19839,1374
file19835,174
file20771,172
file20724,8098
file20746,4022
file19837,947
file20732,1413
file19833,2819
file20763,1496
file20743,7140
file19838,4231
file20778,629
file19834,7959
file19768,59038
file19818,34117
file20761,11098
file20781,887
file20769,2656
file20768,979
file20777,1347
file20779,358
file20747,11041
file20780,3209
file17195,341101
file19762,55002
file20741,11404
file20782,4889
file20774,3266
file20784,10176
file17194,250342
file20785,59848
file20766,32409
file20789,462
file20786,444
file20773,3345
file20787,574
file20775,1772
file20796,1428
file20793,1368
file20797,1209
file20783,1136
file20755,73639
file20799,2393
file20770,36729
file20800,1580
file20790,9756
file20795,7449
file20776,6945
file20794,14118
file20752,21510
file20798,2819
file20788,4004
file20791,16738
file20792,9645
file18894,273159
file20745,95869
file18669,269789
file18689,268151
file19820,188409
file20748,94411
file22647,58
file22242,164
file22651,1844
file22641,2129
file22267,137
file22244,1983
file22254,6555
file22243,1303
file22659,1299
file22255,1168
file22263,1655
file22264,5210
file22258,2194
file22246,1508
file22266,3268
file22280,504
file22648,1737
file22657,9237
file22643,948
file22649,1883
file22271,1299
file22272,853
file22666,709
file22259,186
file22653,15384
file22644,94
file22656,13870
file22652,551
file22284,1546
file22661,85
file22265,603
file22655,667
file22285,3373
file22261,256
file22269,1077
file22664,2652
file22278,3740
file22274,3353
file22257,9526
file22645,1534
file22268,1724
file22663,12313
file22646,4740
file22660,419
file22273,617
file22658,3706
file22662,625
file22654,21473
file22665,5399
file22642,9561
file22270,3812
file22667,917
file22250,388
file22275,64
file22249,79
file22247,2151
file22676,817
file22674,78
file22298,1136
file22669,950
file22670,85
file22256,1483
file22668,462
file22260,7202
file22251,1373
file22277,621
file22302,7633
file22279,1728
file22283,3137
file22671,1731
file22672,6420
file22301,3111
file22673,2349
file22276,773
file22288,3444
file22679,1122
file22291,1909
file22252,3771
file22681,4680
file22281,886
file22292,4923
file22289,2455
file22675,20048
file22287,11446
file22683,3380
file22299,3604
file22685,1209
file22294,613
file22682,3139
file22241,7620
file22307,1882
file22296,7064
file22306,1442
file22687,6097
file22308,1686
file19819,193418
file22248,21536
file22303,24085
file22312,765
file22684,476
file22678,59257
file22293,337
file22286,971
file22680,1399
file22304,10855
file22309,6481
file22314,62
file22677,8230
file22290,3417
file22320,424
file22311,617
file22305,262
file22688,2462
file22300,26925
file22310,30292
file22318,1038
file22697,507
file22319,1625
file22245,27757
file22699,2707
file22693,857
file22253,14321
file22690,1265
file22686,814
file22692,880
file22282,11571
file22315,8587
file22313,3944
file22701,843
file22317,5496
file22262,22375
file22316,11711
file22696,2891
file22650,115878
file22694,325
file22695,13635
file23362,578
file23364,2155
file22704,7133
file22702,1563
file22698,2390
file23361,7829
file22700,1086
file22689,63506
file23377,2502
file22708,3248
file18655,533268
file23379,787
file23369,18130
file22703,6913
file23366,422
file23370,76
file22706,892
file22711,757
file23378,1384
file22709,1738
file23373,12764
file22710,3050
file22712,518
file23363,1559
file22714,1286
file22716,703
file22707,633
file22719,1962
file22705,8865
file23376,284
file22717,4546
file23371,3447
file22713,1286
file22720,646
file23382,3289
file22718,1200
file22715,4497
file23367,588
file23365,14475
file23383,271
file23385,985
file23368,1504
file23402,2419
file23372,1150
file23386,782
file23931,1222
file23401,1711
file23380,2417
file23381,391
file23937,9686
file23395,1883
file23396,753
file23393,7670
file23384,1607
file23388,6093
file23929,1273
file23400,2129
file23922,10925
file23932,753
file23930,848
file23921,3401
file23939,1299
file23391,16445
file23398,11749
file23924,1947
file23374,31131
file23948,648
file23936,1829
file23399,2207
file23390,866
file23387,1800
file23923,2686
file23953,2403
file23951,954
file23952,1089
file23947,9722
file23933,2043
file23410,21647
file23411,3982
file23938,19658
file23375,62067
file23962,61
file23964,1097
file23397,16658
file23934,6342
file23927,190
file23959,5270
file23961,1636
file23963,263
file23955,8794
file23928,2022
file23940,1153
file23415,764
file23949,1303
file23403,2047
file23954,1980
file23969,1062
file23965,1448
file23950,441
file23420,577
file23945,26414
file23942,1836
file23419,1240
file23958,3446
file23943,1331
file23925,12002
file23404,1103
file23944,3035
file23405,7782
file23414,1146
file24405,95
file23408,2246
file23416,1665
file24409,702
file23392,47868
file23412,1708
file23418,619
file23960,215
file23973,448
file23956,17677
file23417,1046
file23407,5763
file24421,1221
file23409,8048
file23966,1728
file24407,428
file24401,1148
file24424,617
file24411,137
file23425,275
file23423,592
file23421,1046
file23972,7601
file23424,518
file23977,1137
file24428,442
file24418,688
file23427,1716
file23413,2879
file24430,241
file24412,1290
file23406,10531
file23971,3983
file23941,12678
file23976,442
file24406,8574
file24420,2594
file23422,1173
file23430,3170
file23985,259
file24413,3884
file23428,699
file23974,1216
file23431,259
file23983,1136
file24404,2676
file23987,375
file24416,1118
file24410,1217
file23433,984
file24427,334
file24417,832
file24442,9217
file24434,390
file24422,851
file24425,2341
file23429,838
file24432,731
file24415,727
file23988,692
file24429,237
file24433,939
file24402,6958
file24419,1042
file24435,6844
file23993,237
file23970,3091
file23426,18411
file23994,274
file24438,78
file24423,2925
file23967,29560
file23998,5885
file24441,1795
file24414,5474
file23990,7605
file24431,3749
file23439,3273
file24449,1012
file23989,8725
file23440,2181
file23997,4617
file24408,6775
file23999,275
file23979,385
file24451,1336
file23438,3033
file23995,7282
file23978,851
file23434,2046
file24440,1466
file23435,1014
file24443,1487
file23991,9674
file23975,2450
file24439,7497
file23946,96357
file23980,233
file23436,4781
file24000,103
file23981,504
file23432,8732
file24426,4020
file24450,332
file23437,25317
file24446,2640
file24436,2416
file23968,12136
file23996,883
file23986,1141
file23984,1563
file23982,1788
file24447,2563
file24445,11979
file23935,35135
file24456,5308
file24448,838
file24460,1107
file24452,743
file24455,234
file23992,7750
file22297,325607
file24454,1136
file24461,325
file24457,3738
file24462,2324
file24466,2246
file24459,1022
file24453,4868
file24463,2441
file23394,158642
file24468,5579
file24479,859
file24474,2826
file24471,415
file23957,79256
file24465,1742
file22691,272938
file24467,554
file24470,137
file24476,853
file24444,11428
file24469,1064
file24480,1935
file24472,5159
file24473,574
file24464,9879
file24477,373
file24478,3516
file24475,8091
file24458,35788
file24437,52724
file23926,129081
file24403,150915
file23389,236921
file26332,567
file26334,938
file26323,204
file26330,446
file26345,1462
file26337,524
file26888,389
file26338,2773
file26325,541
file26324,1320
file26335,746
file26344,3156
file26883,287
file26328,227
file26331,2083
file26887,5020
file26890,5700
file26333,2099
file26891,6170
file26327,23191
file26347,7520
file26895,683
file26900,929
file26898,1534
file26329,12900
file26322,4839
file26903,579
file26881,2621
file26902,115
file26906,765
file26905,5113
file26352,542
file26908,328
file26893,15472
file26909,2377
file26343,613
file26356,10705
file26341,604421
file26359,8274
file26911,2043
file26912,1282
file26885,416
file26354,1616
file26884,1040
file26340,1711
file26349,614
file26896,21507
file26355,138
file26892,112
file26348,4640
file26326,6637
file26342,1466
file26358,2885
file26339,2571
file26360,1631
file26362,475
file26351,7427
file26353,1355
file26361,6699
file26899,1220
file26964,1423
file26901,791
file27044,812
file26897,1193
file26977,359
file26904,1460
file26971,1063
file26972,2082
file26975,326
file26907,192
file26365,1210
file26357,21208
file26366,414
file26369,3854
file26974,710
file27048,1369
file27041,2267
file26368,4806
file26370,2842
file27049,543
file27067,1729
file27057,275
file26973,3906
file26969,2598
file26978,3779
file27046,301
file26976,3396
file26916,199
file26367,902
file26919,801
file26915,13448
file26920,2884
file26374,479
file27056,671
file27055,2546
file27042,360
file27047,1026
file27045,4217
file27054,596
file26914,2246
file27052,275
file27071,101
file27069,234
file26922,846
file26929,1216
file27076,628
file26364,1184
file26988,1492
file26965,101
file27064,1664
file27074,1082
file26375,889
file26376,3930
file27073,657
file26994,2436
file26962,1914
file26378,5101
file26928,914
file27060,288
file26918,5178
file26371,1008
file26961,10069
file26321,48927
file26923,928
file26346,23348
file26917,2839
file27068,2625
file26931,473
file27063,2887
file26363,4471
file27066,1412
file27072,103
file26992,305
file26995,2712
file26936,618
file26926,5151
file26925,5443
file27051,864
file27065,2893
file27086,3483
file27075,1491
file27001,1299
file26372,74
file26913,17444
file27043,4259
file27053,3820
file26968,849
file27061,15067
file26999,1369
file26967,404
file27058,4203
file26924,14288
file26983,1291
file26997,4547
file27002,2256
file27083,7441
file27089,2945
file26379,221
file26986,1638
file27091,17693
file27090,850
file26373,314
file27070,9201
file26982,4583
file26384,2887
file27078,547
file27050,11700
file27082,2600
file26377,495
file27062,3508
file26941,6345
file26980,4306
file27081,2034
file26380,904
file26383,3527
file27059,7256
file27088,685
file27079,1585
file26948,3577
file26996,9552
file26930,2464
file27087,1132
file26993,36513
file26385,6383
file26381,11675
file26944,2107
file26934,2357
file26991,378
file26927,18638
file26985,17580
file26981,4649
file26963,41022
file26382,25237
file26987,1511
file26984,6942
file26952,712
file26989,4890
file27099,427
file26970,38903
file26998,596
file26953,534
file26393,1693
file26951,275
file27100,1033
file27077,7860
file26990,2069
file26947,2448
file26392,6108
file26882,52782
file26943,5175
file26933,137
file26957,4908
file27101,824
file26956,479
file26935,371
file26396,3631
file27080,17759
file27000,31381
file27003,500
file26932,11333
file26391,504
file26945,7523
file26397,2680
file26387,972
file26942,4537
file26390,1717
file27111,1066
file26979,9923
file27093,1299
file26937,7384
file27103,405
file26958,3094
file27085,31754
file27097,7188
file27006,1089
file26398,856
file26395,7712
file27096,4694
file26921,4746
file27094,13691
file26940,395
file27098,5139
file26399,731
file27095,1486
file26889,14640
file26938,610
file26959,714
file26960,18261
file26386,10945
file26886,59267
file27106,273
file26939,21295
file26400,415
file26389,9226
file26946,3988
file27092,5648
file27110,2702
file27016,1155
file27014,822
file27113,166
file26949,492272
file27104,805
file26955,733
file27018,3523
file26388,16664
file27107,2017
file27005,1771
file27115,2349
file27120,1327
file27105,2794
file27010,1303
file27114,6798
file27118,241
file27112,560
file27017,1047
file27084,22653
file27117,9082
file27008,556
file26910,91352
file27109,11890
file27021,1712
file27025,784
file27119,6282
file27013,8998
file27116,6382
file27020,5332
file26954,22626
file27004,9526
file27026,755
file27028,1309
file27108,25923
file27022,771
file27034,459
file27012,1592433
file27032,3233
file27036,2174
file27037,2213
file27035,1440
file27019,2246
file27039,309
file27030,3812
file27023,889
file27027,4571
file27038,990
file27033,6878
file27009,5154
file27011,39063
file27040,420
file27031,775
file27024,2454
file27029,184
file26966,180834
file26894,54948
file27007,31771
file26950,78233
file27015,20131
file26350,198452
file29213,8940
file29201,8342
file29209,732
file29214,765
file29205,375
file29212,919
file29211,2579
file29216,1136
file29223,802
file29202,8017
file29228,86
file29218,2394
file29222,1293
file29208,655
file29227,5301
file29206,115
file29221,2561
file29217,787
file29225,2025
file29220,1131
file29232,1200
file29210,8321
file29219,1864
file29203,7720
file29127,484
file29207,6511
file29224,2373
file29123,5546
file29137,5099
file29138,76
file29126,639
file29231,1397
file29129,892
file29128,1702
file29233,9215
file29134,57
file29132,4487
file29229,25946
file29141,1043
file29236,204
file29144,2282
file29230,3089
file29142,131
file29125,3526
file29226,12720
file29145,1286
file29238,2893
file29149,849
file29204,44845
file29234,2369
file29146,2742
file29148,233
file29240,446
file29143,10669
file29153,1385
file29122,3334
file29237,13848
file29245,812
file29235,10053
file29152,66
file29131,1552
file29258,109
file29130,848
file29251,765
file29249,12684
file29135,458
file29243,10666
file29154,1770
file29241,1652
file29155,869
file29159,521
file29140,10539
file29156,2102
file29158,1077
file29267,821
file29147,86
file29121,4252
file29257,2694
file29253,2261
file29150,16797
file22295,472334
file29271,1155
file29136,10048
file29264,1303
file29215,22424
file29165,2097
file29247,14203
file29263,439
file29163,14686
file29162,577
file29259,5536
file29266,5886
file29262,154
file29254,3906
file29250,11118
file29164,191
file29169,448
file29265,4186
file29270,56
file29255,4262
file27102,197643
file29177,1084
file29242,9551
file29275,1012
file29244,9499
file29139,4979
file29273,761
file29252,1632
file29246,15693
file29274,97
file29277,1059
file29248,4300
file29278,831
file29280,1360
file26336,365015
file29269,1091
file29268,806
file29239,10048
file29276,3313
file29260,19997
file29261,5690
file29174,993
file29272,1920
file29279,5801
file29180,731
file29183,464
file29192,170
file29151,2976
file29173,1561
file29184,534
file29181,181
file29256,27313
file29195,731
file29182,459
file29176,2773
file29171,22395
file29191,917
file29172,1837
file29166,600
file29187,1329
file29198,2990
file29168,4122
file29160,12004
file29190,796
file29175,1571
file29197,731
file29167,9286
file29185,9873
file29193,3067
file29188,8110
file29196,285
file29194,678
file29161,5115
file29199,4034
file29179,3369
file29200,1547
file29178,3346
file29186,23851
file29170,23171
file29124,24714
file29189,32390
file30405,2129
file30410,8145
file30418,2327
file30407,617
file30412,131
file30414,3524
file30406,848
file30429,775
file30404,1234
file30432,2180
file30416,405
file30411,663
file30422,538
file29157,134382
file30433,10232
file30426,1460
file26394,527233
file30425,2004
file30417,1261
file30423,2656
file31041,1977
file30409,1108
file30431,192
file31060,385
file30428,1244
file30413,3829
file31055,1136
file30420,2226
file30415,55
file30408,230
file30421,169
file30419,3189
file30434,291
file31054,1207
file31043,3715
file31051,619
file30435,1288
file30403,17314
file31065,285
file31063,6001
file31058,615
file31042,645
file31066,2964
file31048,5229
file30440,688
file30456,4613
file30441,7120
file31064,687
file31061,217
file30436,690
file30427,10649
file31044,1162
file30402,2775
file31056,4736
file30447,8775
file31053,1813
file30424,3140
file30445,6581
file30438,857
file31068,8461
file30401,2093
file31046,2733
file30439,12479
file31072,753
file31059,3154
file31067,1186
file31069,2345
file31057,4816
file30451,3355
file30442,7222
file31075,605
file31070,3056
file31078,275
file30430,24842
file31077,2156
file31052,3008
file30446,8217
file31085,1204
file31074,91
file30450,2278
file30455,688
file30448,2387
file30453,1261
file31071,5574
file30449,622
file31082,25749
file30462,3350
file31091,4783
file30444,5587
file30454,1045
file31047,5607
file31080,2954
file31079,4346
file30443,8181
file30452,3068
file31092,345
file31081,1997
file31084,1501
file31093,2819
file31097,624
file31103,585
file31049,28213
file30458,799
file30471,15650
file31094,564
file30468,504
file30467,404
file30466,533
file30464,919
file31105,3774
file30461,5770
file30476,1268
file31096,13449
file30469,2535
file30478,642
file30457,14689
file31095,5245
file31107,1261
file30479,15210
file31083,2025
file31062,16909
file31089,1299
file31106,5302
file29133,266416
file30474,423
file31114,2757
file30437,59853
file31113,1930
file30460,5084
file31090,2712
file31109,9073
file30470,1053
file31117,91
file31116,365
file30473,524
file30477,652
file30480,7495
file31120,805
file31045,12939
file31102,1163
file31115,1268
file30475,14155
file30463,9711
file31050,12407
file31112,5030
file30459,23648
file31086,2311
file30465,20669
file31076,10877
file30472,17657
file31088,11969
file31073,12435
file31087,7722
file31110,9665
file31104,546
file31099,1139
file31101,1994
file31119,920
file31118,10103
file31100,943
file31111,631
file31098,6792
file31108,191285
file3601,220
file3291,0
file3444,2155
file3364,1268
file3609,9253
file3484,11908
file3470,589
file3497,285
file3551,1023
file3460,971
file3306,507
file3552,1303
file3451,2853
file3386,2129
file3361,466
file3315,1656
file3369,2097
file3288,2573
file3365,2332
file3465,2561
file3454,1406
file3636,7870
file3382,2297
file3285,3620
file3305,1163
file3646,905
file3494,1651
file3488,75
file3383,1136
file3392,70
file3286,1607
file3495,1200
file3616,255
file3605,796
file3631,730
file3577,7637
file3583,927
file3558,622
file3560,1195
file3622,472
file3319,222
file3576,106
file3320,806
file3634,2702
file3637,1515
file3297,222
file3445,299
file3548,137
file3580,1501
file3296,115
file3607,78
file3292,1148
file3481,155
file3395,199
file3459,572
file3333,26278
file3302,281
file3331,2763
file3498,177
file3501,249
file3442,1072
file3523,593
file3651,2613
file3321,378
file3623,126
file3281,207
file3478,8513
file3657,255
file3539,275
file3420,913
file3549,133
file3524,397
file3316,701
file3567,1711
file3554,248
file3632,813
file3541,195
file3374,561
file3642,2529
file3477,364
file3373,768
file3649,1059
file3663,1607
file3293,428
file3570,2119
file3528,925
file3640,739
file3295,4220
file3530,327
file3323,506
file3310,394
file3625,3910
file3606,1575
file3330,2837
file3546,664
file3574,926
file3419,2564
file3545,590
file3410,410
file3469,999
file3562,1543
file3660,3192
file3338,2303
file3633,263022
file3618,413
file3366,1484
file3423,886
file3407,263
file3422,3105
file3582,399
file3370,417
file3639,745
file3304,781
file3390,1871
file3555,598
file3299,1198
file3527,1223
file3389,9146
file3535,1975
file3341,4629
file3630,1293
file3458,1560
file3329,675
file3473,2319
file3659,2066
file3393,4712
file3572,2073
file3493,1075
file3654,2817
file3553,634
file3371,1329
file3394,256
file3483,8198
file3564,331
file3543,2517
file3568,1940
file3300,1699
file3396,12924
file3565,1738
file3368,278
file3378,471
file3578,1333
file3309,565
file3283,642
file3656,479
file3612,2624
file3579,513
file3611,3435
file3641,5038
file3482,1766
file3466,1060
file3342,691
file3450,1770
file3566,1017
file3314,282
file3467,757
file3415,346
file3336,3146
file3318,1467
file3531,1980
file3540,1789
file3424,2556
file3340,1682
file3308,5812
file3472,1303
file3468,1902
file3417,2012
file3375,3364
file3322,1160
file3536,4389
file3377,360
file3556,1315
file3629,2189
file3626,2083
file3298,2427
file3648,472
file3391,2158
file3628,3687
file3282,1100
file3608,657
file3521,3127
file3575,1437
file3502,1189
file3492,1822
file3561,1114
file3376,919
file3400,21534
file3487,848
file3573,6426
file3456,2393
file3645,646
file3448,4888
file3416,3186
file3602,581
file3363,2714
file3449,9019
file3563,3598
file3538,3702
file3522,2197
file3372,2188
file3619,3574
file3334,1230
file3455,1417
file3532,2149
file3339,2418
file3617,6708
file3525,2825
file3620,397
file3385,2052
file3303,2551
file3496,1248
file3421,1275
file3404,2521
file3384,1959
file3526,3797
file3290,7725
file3409,2124
file3614,3009
file3490,2422
file3464,1532
file3603,2992
file3547,4753
file3624,8031
file3571,4059
file3638,8164
file3441,2734
file3604,14589
file3387,796
file3471,5192
file3344,2575
file3550,4932
file3650,1183
file3662,1068
file3403,3332
file3327,4005
file3647,1141
file3317,4188
file3452,9308
file3544,6606
file3307,5811
file3615,950
file3479,2998
file3325,4228
file3486,3167
file3584,2480
file3380,3480
file3557,6634
file3653,1150
file3301,8440
file3627,10138
file3635,1502
file3533,11578
file3287,10876
file3480,6763
file3542,6243
file3413,14935
file3499,8423
file3500,8442
file3446,4437
file3559,12372
file3311,24481
file3463,2434
file3655,2588
file3661,1876
file3476,5873
file3402,9652
file3397,6058
file3504,4686
file3388,12260
file3613,21432
file3289,14547
file3447,5735
file3443,9767
file3453,7758
file3405,9622
file3664,4642
file3491,8915
file3537,15608
file3324,6785
file3414,7100
file3362,8861
file3461,6604
file3326,2292
file3332,10083
file3474,4552
file3457,19140
file3652,5581
file3610,20510
file3411,12783
file3534,9079
file3367,3286
file3343,7442
file3328,11829
file3418,6459
file3462,7925
file3398,22854
file3485,19905
file3284,12417
file3621,8527
file3644,9390
file3313,8396
file3406,16176
file3335,38867
file3581,23604
file3337,47739
file3658,12128
file3312,15662
file3408,19806
file3585,1293
file3643,14100
file3379,4281
file3593,2951
file3435,389
file3294,30414
file3589,2186
file3436,3354
file3348,465
file3594,2129
file3489,24689
file3591,3519
file3586,858
file3592,1327
file3598,1349
file3520,441
file3401,8299
file3352,6861
file3351,1069
file3674,1130
file3355,11847
file3678,299
file3587,5279
file3595,1876
file3675,7631
file3428,7910
file3432,5581
file3600,1406
file3509,844
file3433,451
file3425,680
file3354,765
file3599,1447
file3349,1562
file3345,294
file3667,1137
file3588,14380
file3346,193
file3353,1717
file3673,997
file3669,1341
file3506,1412
file3508,2430
file3431,2299
file3519,241
file3434,651
file3596,26572
file3357,1109
file3511,2972
file3665,1043
file3510,4613
file3426,2206
file3356,4424
file3347,4395
file3590,12934
file3360,5123
file3437,962
file3359,307
file3514,1797
file3516,552
file3439,475
file3677,3374
file3512,932
file3670,5018
file3399,31146
file3517,3107
file3569,43912
file3529,18012
file3513,7607
file3668,961
file3679,1653
file3518,894
file3671,5887
file3381,60949
file3680,1329
file3676,618
file3666,10792
file3430,4807
file3507,8527
file3429,3353
file3412,18896
file3597,28826
file3505,3822
file3515,3205
file3672,23925
file3438,20025
file3440,21767
file3475,129528
file3503,144835
file3358,60974
file3427,107207
file5936,360
file5932,1918
file5926,817
file5844,1172
file5927,1729
file5852,1400
file5922,3986
file5940,1435
file5850,710
file5851,540
file5931,9553
file5939,4611
file5855,940
file5955,1089
file5842,3954
file5928,1376
file5957,418
file5952,1779
file5861,1738
file5929,2116
file5938,9245
file5875,807
file5923,1387
file5873,1946
file5959,806
file5930,674
file5943,954
file5935,1323
file5941,405
file5954,1221
file5956,1421
file5946,546
file5953,15613
file5947,2060
file5881,1113
file5948,940
file5949,1896
file5921,3464
file5885,325
file5933,1371
file5871,9374
file5877,162
file5945,3773
file5845,304
file5958,5046
file5937,5934
file5886,350
file5944,3741
file5942,3146
file5888,1222
file5892,395
file5848,882
file5951,4442
file5883,832
file5872,528
file5878,793
file5854,258
file5924,137157
file5950,6357
file6966,658
file5849,1238
file5897,1729
file5961,4847
file5860,2063
file5869,1178
file5847,3266
file5983,2474
file5882,940
file5985,51
file5965,11201
file5857,647
file5862,1273
file5891,1159
file5893,498
file5982,1136
file5880,745
file5963,10755
file5853,2732
file5894,626
file5867,1539
file5972,716
file5989,3264
file5879,1243
file6968,983
file6965,378
file5896,240
file5900,494
file5974,1883
file6912,411
file5899,446
file6895,512
file5898,715
file5960,1947
file5863,2430
file6973,1299
file6962,1053
file5864,1576
file5866,479
file6887,806
file5902,1341
file5884,812
file5964,723
file6988,6197
file5969,6305
file5887,206
file6961,1375
file5973,4893
file5993,2730
file6969,275
file5988,1522
file6897,776
file5980,1303
file5859,13629
file6979,602
file6891,3642
file6964,136
file6986,1129
file6981,350
file6976,308
file6970,44181
file5901,991
file6985,3042
file5987,4703
file6902,1130
file5994,3781
file6881,1135
file5874,2985
file6888,1173
file6000,1541
file5998,1745
file5990,1596
file5904,206
file6885,703
file5876,3859
file6917,1357
file6915,741
file6963,3629
file6987,8908
file6883,1162
file6884,1143
file6971,1496
file5895,5952
file5912,617
file6980,9659
file5971,2217
file6924,546
file6900,1270
file5905,1811
file6975,7096
file6974,1721
file6919,1683
file6923,418
file5981,11805
file6882,6069
file5913,2063
file5890,9831
file5966,3278
file6920,1067
file5999,10546
file5911,1565
file6911,3743
file5984,10796
file5910,4421
file6889,7518
file6972,991
file6910,1140
file6890,17341
file6967,1822
file6914,631
file6893,1842
file6909,10952
file6921,3988
file5903,2600
file5968,2437
file5986,19471
file6978,652
file6995,212
file5975,4349
file7021,2403
file5856,19123
file7019,163
file5909,8003
file6983,1222
file6994,552
file6903,508
file5858,51509
file6927,4672
file5918,704
file5917,338
file5919,1814
file6918,723
file7023,802
file6929,180
file6922,4959
file6908,18343
file5846,24392
file6925,1230
file5868,12074
file6894,5061
file6899,2087
file6913,199
file6904,940
file5907,16950
file6905,4026
file5916,1033
file7009,1594
file6932,2142
file6892,2271
file7012,437
file5843,40588
file5978,2541
file7000,1419
file5870,17502
file6997,2405
file5991,278
file5908,8603
file7025,4802
file6898,2802
file6901,4416
file5920,1221
file6991,3412
file5970,11078
file6907,31043
file6931,2192
file5996,561
file6946,132
file5992,5216
file6940,625
file5962,16057
file5865,44218
file5997,4771
file6998,2174
file6938,855
file6943,381
file6996,1689
file6906,5552
file7030,565
file5934,140837
file6935,2904
file5906,35622
file5841,31078
file7033,2581
file5995,20633
file6941,137
file6942,1605
file6982,5502
file6989,11689
file6945,720
file5915,30115
file5967,34351
file7011,1175
file6896,10651
file6957,2674
file7016,4256
file7034,841
file6949,2100
file6959,689
file7014,2297
file6930,51
file6928,70
file6990,14466
file7035,839
file7031,4594
file6947,584
file6944,7378
file6948,824
file7032,7024
file6916,4925
file6984,15373
file6952,2616
file6950,3667
file7037,18186
file6960,3067
file6926,6713
file6958,201
file6937,9107
file6951,4533
file6953,1195
file7020,172
file7040,1299
file6934,681
file6936,3075
file6956,2698
file5979,60387
file3350,396934
file7018,4915
file6999,209
file7022,4988
file6939,3006
file7008,1638
file7007,1074
file7005,1629
